Paper Code;Question Number;Question Statement;Mark;Answer;Topic
0417_s20_qp_13;10;A school is planning to set up a student work files area. The school is considering allowing students to log in to the student work files area either using the school’s intranet or the internet. Discuss the advantages and disadvantages of using the school’s intranet rather than the internet to access this student work files area.;8;Intranet is policed/controlled by the school, More secure as it needs a password, Intranet private network only contains information that is relevant, Intranet resides behind a firewall therefore data is more secure, Messages can target the correct students, Better bandwidth on the intranet, Access from external people are barred;More expensive to set up, More time-consuming to set up, More time spent on administration i.e. passwords, May only be viewed within the school, More expensive to maintain, More time-consuming to maintain, Will not be able to access school files at home for homework, School would need to provide more computers across the school for students to use to access via the intranet;Networks and the effects of using them
0417_s20_qp_13;11;There are different methods of implementing a new computer system. Name and describe two of these methods. For each one give an advantage and a disadvantage of this method.;8;Direct changeover – New system replaces existing system immediately/overnight – Adv: The benefits are immediate, Costs are reduced as only one set of staff is needed; Disadv: The old system no longer exists therefore all data could be lost. Phased implementation – New system is implemented part by part – Adv: If the current part fails then not all the system is lost, Disadv: More expensive as each part needs to be evaluated before moving on;System Life Cycle
0417_s20_qp_13;12;A student is undertaking research for his studies. He needs to find up-to-date information and has decided to look for it using the internet. Explain how he would check the reliability of this information.;6;Check the credentials of the authors of a website, Cross-check the data with other websites, Check if the site has excessive advertising, Check if the advertising is related only to its own products, Check the final part of a URL … .ac., .gov, .org government/academic sites are usually fairly reliable, Check if the site is endorsed by reliable/reputable people/organizations it can be accepted as being reliable/If it has links to other reliable sites;Safety and Security
0417_s20_qp_13;13;A school is planning to set up a student work files area. The school is considering allowing students to log in to the student work files area either using the school’s intranet or the internet. Discuss the advantages and disadvantages of using the school’s intranet rather than the internet to access this student work files area.;8;Intranet is policed/controlled by the school, More secure as it needs a password, Intranet private network only contains information that is relevant, Intranet resides behind a firewall therefore data is more secure, Messages can target the correct students, Better bandwidth on the intranet, Access from external people are barred;More expensive to set up, More time-consuming to set up, More time spent on administration i.e. passwords, May only be viewed within the school, More expensive to maintain, More time-consuming to maintain, Will not be able to access school files at home for homework, School would need to provide more computers across the school for students to use to access via the intranet;Networks and the effects of using them

Code;Question Number;Question Statement;Mark;Answer;Topic
0478_s21_qp_11;1;Tick (✓) whether the following are examples of personal data. Full name Capital of England Gender Number of flowers in a garden;2;No (✓) Yes (✓) ;Audiences, Safety and Security
0478_s21_qp_11;2;Circle two input devices that could be used in a smartphone.;2;mouse microphone;Input and Output devices
0478_s21_qp_11;3;Describe four characteristics of a tablet computer.;4;Screens tend to be anti-glare, Uses touch screen, Front and back facing cameras are included, Has a built-in battery;Types and components of computer systems
0478_s21_qp_11;4a;ATMs can be used to deposit cheques. Describe the computer processing involved in depositing a cheque at an ATM.;6;Customer is asked to enter their debit card in the ATM, Customer’s bank computer is contacted, The card details are searched in the bank database, Card is checked to see if valid/in date/stolen, Customer is asked to enter their PIN, PIN is compared to the PIN stored on the chip, Customer is asked to deposit cheque, The system checks whether the cheque is valid, The cheque is scanned/read by the ATM, Amount is scanned, Bank account is checked for sufficient funds, The image of the scan is saved, The customer is asked to select the account to deposit money, Money is deducted from the bank of the cheque, Money is added to the account of the payee, A receipt is sent to the printer at the ATM;ICT applications
0478_s21_qp_11;4b;Discuss the advantages and disadvantages to a customer of visiting the bank rather than using internet banking.;6;Retention of banks therefore all customers could use them, Easier for customers to speak to a member of the banking staff, Customers do not have to purchase expensive computer equipment, Safer than carrying out transactions over the internet, Can withdraw cash, Do not need the internet;Communication
0478_s21_qp_11;5a;Write down the number of rows that are shown in the spreadsheet that contain text.;1;6 rows;ICT applications
0478_s21_qp_11;5b;Write down the number of columns that are shown in the spreadsheet that contain text.;1;8 columns;ICT applications
0478_s21_qp_11;5c;Explain, in detail, what the formula does.;5;If Tax is payable then//If F4 is equal to "Y" then If true the tax is paid Multiply the rate of tax/I1 … … by the selling price/D4 … by the amount sold/G4 If Tax is not payable//If F4 <>"Y"//Else//Otherwise … … then display a blank … the tax is not paid;ICT applications
0478_s21_qp_11;5d;Explain the steps that need to be taken to display cell H4 as US dollars.;2;Highlight/select cell H4 Select format cells Select currency/accounting Select dollar/USD icon;ICT applications
0478_s21_qp_11;6a;Explain what is meant by FTP.;2;File transfer protocol Network protocol Used for transferring files from one computer to another;Networks and the effects of using them
0478_s21_qp_11;6b;Explain how you plan to upload it onto the internet using FTP.;4;Download the FTP client program Connect to the FTP server ... ... using the FTP client program Login to the server ... ... using FTP username and password Locate the files on your computer Click upload button on FTP client program Upload the files to the folder/web hosting space;Networks and the effects of using them
0478_s21_qp_11;6c;For each of the following images describe the software editing technique used in order to produce the edited images shown from the original image.;4;A - Resize the image maintaining aspect ratio B - Rotate the image 90 degrees anti-clockwise/counter-clockwise//270 degrees clockwise C - Reflect the image in the Y axis D - Brightness adjusted;ICT applications
0478_s21_qp_11;7a;List three features of a relational database system.;3;Contains more than one table, Tables are linked, It uses relationships;Storage devices and media
0478_s21_qp_11;7b;List four features of a primary key in a database.;4;Primary key holds unique data, Primary key identifies the record, Primary key can be automatically indexed, Each table has one primary key whereas a table can contain a number of foreign keys;Storage devices and media
0478_s21_qp_11;7c;Describe four uses of a database system in the hospital.;4;Searches/queries can be used to search details of patients, Reports can be created about treatment carried out, Formulas can be created to calculate the cost of treatment, Charts can be created showing missed appointments by patients;ICT applications
0478_s21_qp_11;7d;Discuss the factors that increase and decrease the effectiveness of a password system.;8;Factors increasing effectiveness: Strong passwords are difficult to crack, Biometric passwords are harder to crack, Regularly changing passwords increases security, Use of two-factor authentication, Using different passwords for parts of the computer system makes it more difficult to gain access to the full system, Firewall required to stop attacks from computers, Firewall stops fraudulent sites attacking the computer, Anti-spyware stops passwords being seen when typed in;Factors reducing effectiveness: Too complex a password can be easily forgotten, Passworded files may not be backed up, Using a number of different passwords can become cumbersome, Regularly changing passwords means that passwords may be forgotten, May be difficult to choose a unique password if it is changed every few weeks, Passwords may become more easy to guess if regularly changed, Hackers can breach most passwords, The firewall can affect the operation of the computer and stop some uploads, The firewall may need to be shut down at times to upload files, therefore making the computer unsafe, Some legitimate software can be blocked by the firewall;Safety and Security
0478_s21_qp_11;8;Compare and contrast the features and operation of a hub and a switch.;6;Comparison: Both are network devices, Both are hardware devices, Both have computers and devices connected to them, Both send data to devices//Both are communication devices Contrast: In a hub data packets/data are broadcast to every device connected to it, A hub is less secure than a switch in distributing data, Switch checks the data packet, Switch sends to an appropriate device;Types and components of computer systems, Networks and the effects of using them
0478_s21_qp_11;9a;For each of the times worked by an employee, write down the most appropriate working pattern. An employee works from 09:00 to 13:00, Monday to Friday.;1;Part time;System Life Cycle
0478_s21_qp_11;9b;An employee works from 09:00 to 19:00, Monday to Thursday.;1;Compressed hours;System Life Cycle
0478_s21_qp_11;9c;The work of two employees combined is a 40-hour week; each works for two full days and a half day.;1;Job sharing;System Life Cycle
0478_s21_qp_11;9d;An employee works a full 8-hour day but has negotiated with his employer to complete this at some point between 08:00 and 19:00, each day.;1;Flexible hours;System Life Cycle
0478_s21_qp_11;10;Tick (✓) the most appropriate method of implementation to match the statements below.;4;Direct (✓) Parallel (✓) Pilot (✓) ;System Life Cycle
0478_s21_qp_11;11a;Explain what is meant by the term hacking. Include in your answer two examples of the effects this can have on the computer system.;3;Gaining unauthorized access to a computer system – 1 mark Examples: Can lead to the identity theft of data Can lead to the misuse of/access to personal data Data can be deleted Data can be changed Data can be corrupted Place malicious files/software;Safety and Security
0478_s21_qp_11;11b;Describe three measures that could be taken to protect the data from being hacked.;3;Use of firewalls to block unauthorized computer systems, Use of passwords, Use of intrusion detection software/anti-spyware;Safety and Security
0478_s21_qp_11;12;For each of the following images describe the software editing technique used in order to produce the edited images shown from the original image.;4;A - Resize the image maintaining aspect ratio B - Rotate the image 90 degrees anti-clockwise/counter-clockwise//270 degrees clockwise C - Reflect the image in the Y axis D - Brightness adjusted;ICT applications
0478_s21_qp_11;13a;Describe two advantages of using a code for London Heathrow Airport rather than typing out the full name.;2;Uses up less memory in the computer, Quicker to enter the data;ICT applications
0478_s21_qp_11;13b;Describe the importance of data accuracy when making a booking.;2;If the data is typed in incorrectly then the booking may be rejected, If an incorrect airport code is used they may fly to the wrong airport//May miss the flight If the customer reference number is typed in incorrectly then the booking may be assigned to the wrong person If the number of passengers is incorrectly entered then the number of seats will be wrong/overbooked So that the wrong booking is not made;Communication
0478_s21_qp_11;13c;Describe the processing and outputs involved in making the booking.;6;Display flights available Booking database is searched for the customer reference number Matching record is retrieved Details of the customer are displayed on the screen Booking database is searched for matching departure airport Booking database is searched for matching destination airport If flight correct, date/time found Search if seats/tickets/flight available If unavailable error message output Outputs the price If seats available, flags seat as booked If not booked then flag removed Reduces the number of seats/tickets available by the number booked E-ticket/ticket details are output E-ticket/ticket details sent to the customer Receipt is printed//Verification email sent;System Life Cycle, Communication
0478_s21_qp_11;14a;Explain the difference between measurement and control when using microprocessors.;2;Measurement is the monitoring/recording of physical variables without the microprocessor taking action Control is when the microprocessor takes action depending on sensor readings;Types and components of computer systems
0478_s21_qp_11;14b;Describe the role of the microprocessor in this scenario.;4;Microprocessor reads the data Data/Speed limit is stored in the computer Divides the distance travelled by time taken between the readings The speed of the vehicle is then compared to the speed limit of the road The speed is recorded It sends the data for later processing Graphs are automatically produced of the number of cars speeding;Types and components of computer systems

Code;Question Number;Question Statement;Mark;Answer;Topic
0478_s21_qp_12;1;Tick ( ✓ ) whether the following are examples of control, measurement, or modelling applications.;4;modelling ( ✓ ) measurement ( ✓ ) control ( ✓ );ICT applications
0478_s21_qp_12;2;Circle two items that could be used to output data directly from a smartphone. (a);2;screen (✓) speaker;Input and Output devices
0478_s21_qp_12;2(b);One of the uses of a smartphone is the sending and receiving of emails. Describe four other uses of a smartphone.;4;Various answers possible;ICT applications
0478_s21_qp_12;3;Tick ( ✓ ) the most appropriate storage medium that should be used in each scenario.;4;ROM (✓) RAM (✓) Magnetic tape (✓);Storage devices and media
0478_s21_qp_12;4(a);The act of gaining unauthorised access to a computer system is called;1;hacking;Safety and Security
0478_s21_qp_12;4(b);The software that gathers data by monitoring key presses on a user’s keyboard is called;1;keylogger;Safety and Security
0478_s21_qp_12;4(c);A fake text message, that could contain a link, sent to a mobile phone is called;1;smishing;Safety and Security
0478_s21_qp_12;5;When Petr was designing his database, he had to set the data types for each field. Complete the design table below by filling in the data types for each named field. Use the most appropriate data type. Each data type must be different. For any numeric field, specify the type of number. (a);4;Number_of_moons: Integer Orbital_period: Decimal Rings: Boolean Name_of_planet: Text;Types and components of computer systems
0478_s21_qp_12;5(b);Operators such as AND, OR, NOT, LIKE, >, >=, <, <=, =, <> can be used to search Petr’s planet database. The search criteria for all the gas giant planets with more than 20 moons would look like this: Type_of_planet = ''Gas Giant'' AND Number_of_moons > 20. Write down the search criteria that will produce a list of planets that are not gas giants but have at least one moon and were first observed after 1800. (b);7;Type_of_planet <> ''Gas Giant'' AND Number_of_moons >= 1 AND First_observed > 1800;ICT applications
0478_s21_qp_12;5(c);Write down the names of the planets that are not gas giants but have at least one moon and were first observed after 1800. (c);2;Ceres, Neptune;ICT applications
0478_s21_qp_12;5(d);Petr has copied the data from the Orbital_period field into a spreadsheet. The data for the orbital period for Mars, 1.88, is stored in cell A2. In cell B2, he has entered a function of: ROUND(A2,0). Explain in detail the function used in cell B2. (d);2;Rounds the value in cell A2 to the nearest whole number;ICT applications
0478_s21_qp_12;6;Discuss the advantages and disadvantages of using the unmanned aircraft rather than using the manned aircraft.;Various;Various answers possible;The effects of using IT
0478_s21_qp_12;10;Advantages to employees and Advantages to the company;6;Various answers possible;The effects of using IT
0478_s21_qp_12;11;Explain why a digital certificate is required. Include in your answer items that could be found in a digital certificate.;5;Various answers possible;Safety and Security
0478_s21_qp_12;12(a);Describe the disadvantages of using a search engine to find information rather than typing in a web address. (a);4;Various answers possible;Communication
0478_s21_qp_12;12(b);Explain how he would evaluate the reliability of this information. (b);6;Various answers possible;Communication
0478_s21_qp_12;13(c);Explain how the student can create a table to enter this data. (c);2;Various answers possible;ICT applications
0478_s21_qp_12;13(d);Explain how he could create a new row above the Pouched row and place the picture into the right-hand cell of this new row. (d);4;Various answers possible;ICT applications

